"MONTH","PLANET","PX","PY","PZ","VX","VY","VZ"
"*","SATURN","7.392041254043560E+11","-1.299966135220860E+12","-6.825164354429066E+09","7.858062960522314E3","4.749237038854423E3","-3.9535503950974E2"
"*","TITAN","7.393632824059085E+11","-1.301036616199825E+12","-6.289190797477245E+09","1.340286818160709E4","5.317422440197054E3","-1.240402495405598E3"
"*","URANUS","2.340474535570376E+12","1.812235503816258E+12","-2.359042121870625E+10","-4.219133688382026E3","5.067193696323809E3","7.352501659064308E1"
"*","NEPTUNE","4.396245511976999E+12","-8.384570995482440E+11","-8.404951016296065E+10","9.826184805277628E2","5.372066887592342E3","-1.32884961692156E2"
"OCTOBER","SUN","8.972822672803542E+08","9.717982042511858E+08","1.281376152200147E+07","-1.278110010592181E1","-8.589317654844452E0","3.801447020199521E-1"
"*","MERCURY","2.288813629111452E+10","-6.115319272874801E+10","-7.245627747883108E+09","3.572146147389341E4","1.986722313585282E4","-1.653421392603838E3"
"*","VENUS","1.198187006350153E+10","1.079161031265836E+11","7.371999816969484E+08","-3.49018025707213E4","3.999274570012738E3","2.068693765975998E3"
"*","EARTH","1.474181577051251E+11","2.179975159806982E+10","1.183702864683047E+07","-4.640905448006593E3","2.936680193992434E4","-1.057806164490763E0"
"*","MOON","1.478201850972888E+11","2.178784155422321E+10","-2.324548345884215E+07","-4.591198381661995E+03","3.034333905170119E+04","5.244750284244759E+00"
"*","MARS","2.039850308567822E+11","4.789122632378358E+10","-4.029999538038215E+09","-4.492720329475789E3","2.567876820495302E4","6.485849394601972E2"
"*","JUPITER","3.679202740686986E+11","-6.716129945423952E+11","-5.445380604778409E+09","1.129663925190725E4","6.897124120404195E3","-2.813930174851654E2"
"*","SATURN","7.594760751541429E+11","-1.287482735643966E+12","-7.849445794745982E+09","7.780974066387959E3","4.883425827280393E3","-3.950190558244494E2"
"*","TITAN","7.587684084766703E+11","-1.288350046002440E+12","-7.331876597232997E+09","1.236045753113259E4","1.980730421009107E3","6.452588068084223E2"
"*","URANUS","2.329497907978570E+12","1.825338488921178E+12","-2.339958579743409E+10","-4.250433007266072E3","5.043116079482627E3","7.387004671186911E1"
